date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:11	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:12%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fesewa-kendra%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedc021	(from https://doj.gov.in/esewa-kendra/)
15:06:11	58596/58596	---M--	200	added ('OK')	image/jpeg	etag:%221280a2c6ab6c293c97d760cc6491e509%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/02/2022022830.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/02/2022022830.jpg	(from https://doj.gov.in/esewa-kendra/)
15:06:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:12%20GMT	https://doj.gov.in/?p=10344	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/index003d.html	(from https://doj.gov.in/esewa-kendra/)
15:06:12	125183/125183	---M--	200	added ('OK')	image/jpeg	etag:%22fb666b6bc5e79809360113a841f5b0c0%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/02/2022022834.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/02/2022022834.jpg	(from https://doj.gov.in/esewa-kendra/)
15:06:12	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:13%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10341	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10341	(from https://doj.gov.in/ecourt-services/)
15:06:12	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:14%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fecourt-services%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed768d	(from https://doj.gov.in/ecourt-services/)
15:06:13	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:14%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fecourt-services%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedf199	(from https://doj.gov.in/ecourt-services/)
15:06:13	60578/60578	---M--	200	added ('OK')	image/jpeg	etag:%2220d317f303fb7bec7a2d3598b823ad04%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030261.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030261.jpg	(from https://doj.gov.in/ecourt-services/)
15:06:13	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:14%20GMT	https://doj.gov.in/?p=10341	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/indexe948.html	(from https://doj.gov.in/ecourt-services/)
15:06:13	83002/83002	---M--	200	added ('OK')	image/jpeg	etag:%2239a659ccaffd6acca66bdac25d1f17c3%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030231.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030231.jpg	(from https://doj.gov.in/ecourt-services/)
